Year,Nationality,Placement State,Placement City,Value
2017,Afghanistan,Alabama,Mobile,9
2017,Afghanistan,Arizona,Glendale,10
2017,Afghanistan,Arizona,Phoenix,45
2017,Afghanistan,Arizona,Tucson,10
2017,Afghanistan,Arkansas,Phoenix,1
2017,Afghanistan,California,Anaheim,1
2017,Afghanistan,California,El Cajon,1
2017,Afghanistan,California,Escondido,6
2017,Afghanistan,California,Fremont,1
2017,Afghanistan,California,Fullerton,1
2017,Afghanistan,California,Glendale,8
2017,Afghanistan,California,Oakland,4
2017,Afghanistan,California,Sacramento,41
2017,Afghanistan,California,San Diego,31
2017,Afghanistan,California,San Jose,1
2017,Afghanistan,California,Turlock,11
2017,Afghanistan,Colorado,Denver,18
2017,Afghanistan,Connecticut,Hartford,1
2017,Afghanistan,Connecticut,New Haven,17
2017,Afghanistan,Florida,Jacksonville,10
2017,Afghanistan,Georgia,Atlanta,15
2017,Afghanistan,Georgia,Clarkston,1
2017,Afghanistan,Georgia,Savannah,17
2017,Afghanistan,Georgia,Stone Mountain,5
2017,Afghanistan,Idaho,Boise,4
2017,Afghanistan,Illinois,Aurora,4
2017,Afghanistan,Illinois,Chicago,24
2017,Afghanistan,Illinois,Rockford,5
2017,Afghanistan,Indiana,Bloomington,6
2017,Afghanistan,Indiana,Indianapolis,5
2017,Afghanistan,Iowa,Des Moines,7
2017,Afghanistan,Kentucky,Louisville,1
2017,Afghanistan,Maryland,Baltimore,2
2017,Afghanistan,Maryland,Hyattsville,6
2017,Afghanistan,Maryland,Riverdale,4
2017,Afghanistan,Maryland,Silver Spring,14
2017,Afghanistan,Massachusetts,Boston,3
2017,Afghanistan,Massachusetts,Lowell,6
2017,Afghanistan,Massachusetts,Springfield,1
2017,Afghanistan,Michigan,Battle Creek,1
2017,Afghanistan,Michigan,Grand Rapids,13
2017,Afghanistan,Michigan,Holland,4
2017,Afghanistan,Michigan,Lansing,16
2017,Afghanistan,Michigan,Troy,2
2017,Afghanistan,Missouri,Kansas City,7
2017,Afghanistan,Missouri,Saint Louis,13
2017,Afghanistan,Nevada,Las Vegas,20
2017,Afghanistan,Nevada,Reno,6
2017,Afghanistan,New Jersey,Highland Park,6
2017,Afghanistan,New York,Albany,14
2017,Afghanistan,New York,Buffalo,32
2017,Afghanistan,New York,Clay,4
2017,Afghanistan,New York,Cohoes,4
2017,Afghanistan,New York,Syracuse,15
2017,Afghanistan,New York,Watervliet,7
2017,Afghanistan,North Carolina,Charlotte,9
2017,Afghanistan,North Carolina,Durham,9
2017,Afghanistan,North Carolina,Raleigh,16
2017,Afghanistan,North Carolina,Winston-Salem,2
2017,Afghanistan,Ohio,Akron,15
2017,Afghanistan,Ohio,Cleveland Heights,5
2017,Afghanistan,Ohio,Cuyahoga Falls,1
2017,Afghanistan,Oregon,Portland,9
2017,Afghanistan,Pennsylvania,Allentown,2
2017,Afghanistan,Pennsylvania,Philadelphia,10
2017,Afghanistan,Pennsylvania,Roslyn,2
2017,Afghanistan,Rhode Island,Providence,1
2017,Afghanistan,South Carolina,Charleston,2
2017,Afghanistan,South Carolina,Columbia,12
2017,Afghanistan,Tennessee,Memphis,1
2017,Afghanistan,Tennessee,Nashville,9
2017,Afghanistan,Texas,Austin,26
2017,Afghanistan,Texas,Dallas,12
2017,Afghanistan,Texas,Fort Worth,6
2017,Afghanistan,Texas,Houston,17
2017,Afghanistan,Texas,San Antonio,6
2017,Afghanistan,Utah,Salt Lake City,14
2017,Afghanistan,Virginia,Charlottesville,4
2017,Afghanistan,Virginia,Falls Church,1
2017,Afghanistan,Virginia,Fredericksburg,2
2017,Afghanistan,Virginia,Harrisonburg,6
2017,Afghanistan,Virginia,Newport News,22
2017,Afghanistan,Virginia,Richmond,32
2017,Afghanistan,Virginia,Roanoke,6
2017,Afghanistan,Virginia,Woodbridge,2
2017,Afghanistan,Washington,Kent,1
2017,Afghanistan,Washington,Seattle,11
2017,Afghanistan,Washington,Spokane,7
2017,Afghanistan,Washington,Tacoma,4
2017,Afghanistan,Wisconsin,Oshkosh,1
