Hhid,Personid,Country Of Birth,Country Of Citizenship,Head Of Household,Numppl_household,Relationship To Head Of Household,Marital Status,Age,Gender,Ethnic Origin,Year Of Entry,Original Resettlement State,State Of Residence Last Year,state of residence last year US location,Lived In Same State Last Year,primary reason for move to US,num_months__health_costs_covered_organism_past_12mo,medical_expenses_covered_by,Bad Health 6 Months Or More Limiting Work,Bad Health 6 Months Or More Preventing Work,Usual Medical Care Source,Earnings last 12 months (amount),Earnings_per_person_last_12_months,given_aid,type_aid,Received_Food_Stamps,SSI since arrival,Applied For Permanent Residency Day,Applied For Permanent Residency,Applied For Permanent Residency Month,Applied For Permanent Residency Year,Planning Immigration Status Change,Currently Enrolled English Courses,Degree Or Certificate Received,Highest Degree Before Entry,Participate In Children Education,Speak English Now,Speak English On Arrival,Taught English Before Arrival,Taught English Past 12 Months,Total Earnings From Jobs Before Taxes Past 12 Months,Years Of Schooling Before Entry,Training Duration Weeks,Public Housing,Assistance Disqualification Due To Income,Work Status Summary,Attended Job Training Past 12 Months,Attended University Or Training Past 12 Months,Employment Before Entry,first job US date month,first job US date year,Job Business Kind Or Industry,Kind Of Work Before Entry,Layoff Or Absent From Job Last Week,Looking For Work Past 4 Weeks,Number Hours All Jobs Last Week,Number Hours Primary Job Last Week,Number Jobs Last Week,Work Hours Last Year,Work Hours Per Week,Work Job Last Week,Work More One Job Last Week,Work Status,worked since US entry,Wanted Degree Or Certificate From School,Weeks Since Job Started,Cohort,Entry Between 2011 2015,first job US date,Health Costs Covered By Organism Past 12 Months,Health Costs Covered By Organism Past 12 Months Number Of Months,Health Insurance Coverage Type Past 12 Months 01,Health Insurance Coverage Type Past 12 Months 02,Health Insurance Coverage Type Past 12 Months 03,Health Insurance Coverage Type Past 12 Months 04,Health Insurance Coverage Type Past 12 Months 97,household received GA past 12 months,household received GA past 12 months number months,household received SSI past 12 months,household received SSI past 12 months number months,household received cash assistance voluntary agency sponsor religious organization MAA,Household Received Food Stamps Past 12 Months,Medical Expenses Paid How Past Month 01,Medical Expenses Paid How Past Month 02,Medical Expenses Paid How Past Month 03,Medical Expenses Paid How Past Month 04,Medical Expenses Paid How Past Month 05,Medical Expenses Paid How Past Month 06,Medical Expenses Paid How Past Month 07,Medical Expenses Paid How Past Month 08,Medical Expenses Paid How Past Month 09,Medical Expenses Paid How Past Month 10,Medical Expenses Paid How Past Month 11,Medical Expenses Paid How Past Month 12,Medical Expenses Paid How Past Month 97,Money Earned Before Taxes Primary Job Duration,Money Earned Per Hour Primary Job Last Week,Money Earned Per Hour Second Job Last Week,Money Earned Primary Job Before Taxes,Money Earned Second Job Before Taxes,Money Earned Second Job Duration,months household received TANF,months household received TANF number months,Number Months Receiving Food Stamps,Number Of Months Living In Residence,Participate In Children Education How 01,Participate In Children Education How 02,Participate In Children Education How 03,Participate In Children Education How 04,Participate In Children Education How 05,Participate In Children Education How 06,Participate In Children Education How 07,Participate In Children Education How 08,Participate In Children Education How 97,Person Who Received Food Stamps 01,Person Who Received Food Stamps 02,Person Who Received Food Stamps 03,Person Who Received Food Stamps 04,Person Who Received Food Stamps 05,,Reason Not Looking For Job 01,Reason Not Looking For Job 02,Reason Not Looking For Job 03,Reason Not Looking For Job 04,Reason Not Looking For Job 05,Reason Not Looking For Job 06,Reason Not Looking For Job 07,Reason Not Looking For Job 08,Reason Not Looking For Job 97,received GA since US arrival,received GA since US arrival number months,received RCA assistance past 12 months,received RCA assistance past 12 months number months,received SSI last month,received SSI since US arrival,received SSI since US arrival number months,received TANF cash assistance past 12 months,received TANF cash assistance past 12 months number months,received TANF last month,reeived RCA last month,Residence Monthly Payment,Residence Type,Respondent,Ui Agect Arrival,Ui Cashassist,Ui Emprate,Ui Lfp,Ui Lpr,Ui Medicaidrma,Ui Qn10A Annual,Ui Qn8A Annual,Ui School,Ui Soi,Ui Soi Pubassist,Ui Work,who received GA 01,who received GA 02,who received GA 03,who received GA 04,who received GA 05,who received RCA 01,who received RCA 02,who received RCA 03,who received RCA 04,who received RCA 05,who received SSI 01,who received SSI 02,who received SSI 03,who received SSI 04,who received SSI 05,who received TANF 01,who received TANF 02,who received TANF 03,who received TANF 04,who received TANF 05
99900030,999000301,Bhutan,Bhutan,(RECORD HEAD OF HOUSEHOLD NAME),3,Self,Married,45,Male,Other,2015 or later,Mid West,,,Yes,Did not move to another state/it's the first state we lived in since living in U,12 months,Sponsor/sponsoring agency,Yes,No,Emergency room at a hospital,<=25k,"(Line Poverty,32k)",Yes,GA RCA SSI,No,No months,,No,,,Don't know,,,None,No,Not well,Not at all,No,No,24510,0,,No,No,Government employee,No,No,Employee in private sector,January,2016,Manufacturing/production/factory,"Skilled tradesperson (carpenter, mechanic, plumber, linesperson, electrician, ta",,,,40,,Don't know,40,Yes,No,State government employee,,,,2015,Yes,(RECORD MONTH),Yes - covered in all months,,Option not selected,Option not selected,Medicaid or Refugee Medical Assistance,Option not selected,Option not selected,No,,No,,No,No,Option not selected,Option not selected,Option not selected,Sponsor/sponsoring agency,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,,10,,,,,No months,,,24,,,,,,,,,,,,,,,,,,,,,,,,,No months,,Yes,3,,No months,,No,,,No,550,Rented for cash rent,Not respondent,40 to 54 years,Receives cash assistance,Employed,In labor force,"Not applied to adjust, may not",Individual receives RMA/Medicaid,,,None,Receives both,Receives public assistance,Working now,,,,,,Head of Household,Household member #2,Household member #3,Option not selected,Option not selected,,,,,,,,,,
99900030,999000302,Bhutan,Bhutan,(RECORD HH MEMBER #2 IF APPLICABLE),3,Spouse (wife/husband),Married,38,Female,Other,2015 or later,Mid West,,,Yes,Did not move to another state/it's the first state we lived in since living in U,12 months,Sponsor/sponsoring agency,Yes,Yes,Private physician,,,Yes,GA RCA SSI,No,No months,Don't know,Yes,,,Yes,,,None,No,Not at all,Not at all,No,No,,0,,No,,,No,No,Self-employed,,,,"Skilled tradesperson (carpenter, mechanic, plumber, linesperson, electrician, ta",,Yes,,,,,,No,,,Never worked in the U.S.,,,2015,,,Yes - covered in all months,,Option not selected,Option not selected,Medicaid or Refugee Medical Assistance,Option not selected,Option not selected,No,,No,,No,No,Option not selected,Option not selected,Option not selected,Sponsor/sponsoring agency,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,,,,,,,No months,,,21,,,,,,,,,,,,,,,,,,,,,,,,,No months,,Yes,3,,No months,,No,,,No,550,Rented for cash rent,Respondent,25 to 39 years,Receives cash assistance,Unemployed,In labor force,Already adjusted LPR status,Individual receives RMA/Medicaid,,,None,Receives both,Receives public assistance,Not working now and never worked in past,,,,,,Head of Household,Household member #2,Household member #3,Option not selected,Option not selected,,,,,,,,,,
99900075,999000751,Bhutan,None,(RECORD HEAD OF HOUSEHOLD NAME),4,Self,Married,35,Male,Bhutanese,2015 or later,Mid West,,,Yes,Did not move to another state/it's the first state we lived in since living in U,12 months,Medicaid,Yes,Yes,Folk healer,<=25k,<=Line Poverty,Yes,GA TANF SSI,Yes,No months,(RECORD MONTH),Yes,March,2015,,,,Primary,Yes,Well,Not well,No,No,22000,2,1,No,Yes,Government employee,Yes,No,Employee in private sector,April,2014,Misc. general products/goods/product companies,"Skilled tradesperson (carpenter, mechanic, plumber, linesperson, electrician, ta",,,,48,,40,48,Yes,No,State government employee,,,,2015,,(RECORD MONTH),Yes - covered in all months,,Option not selected,Option not selected,Medicaid or Refugee Medical Assistance,Option not selected,Option not selected,No,,No,,No,Yes,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Medicaid,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,,12.1,,,,,Number of months,9,3,23,Attend parent-teacher meetings,Volunteer your time,Help with homework,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Other,Head of Household,Option not selected,Option not selected,Option not selected,Option not selected,,,,,,,,,,,No months,,No,,,No months,,Yes,9,Yes,,1800,Rented for cash rent,Respondent,25 to 39 years,Receives cash assistance,Employed,In labor force,Already adjusted LPR status,Individual receives RMA/Medicaid,,,None,Receives both,Receives public assistance,Working now,,,,,,,,,,,,,,,,Head of Household,Option not selected,Option not selected,Option not selected,Option not selected
99900077,999000771,Bhutan,None,(RECORD HEAD OF HOUSEHOLD NAME),3,Self,Legally separated,29,Female,Other,2015 or later,South,,,Yes,Refused,02 - 11 Months,Medicaid,No,No,Folk healer,<=25k,<=Line Poverty,Yes,GA TANF SSI,Yes,No months,(RECORD MONTH),Yes,September,2016,,,,None,Yes,Not well,Not well,Yes,No,13000,5,,No,Yes,Employee of a private business,No,No,Not employed,September,2015,Hospitality/entertainment,,,,,10,,52,14,Yes,No,Employee of a private business,,,,2015,,(RECORD MONTH),No - number of months not covered (RANGE: 02-11),6,Option not selected,Option not selected,Medicaid or Refugee Medical Assistance,Option not selected,Option not selected,No,,No,,No,Yes,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Medicaid,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,,8.5,,,,,Number of months,3,12,17,Attend parent-teacher meetings,Volunteer your time,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Head of Household,Household member #2,Household member #3,Option not selected,Option not selected,,,,,,,,,,,No months,,No,,,No months,,Yes,3,No,,800,Rented for cash rent,Respondent,25 to 39 years,Receives cash assistance,Employed,In labor force,Already adjusted LPR status,Individual receives RMA/Medicaid,,,None,Receives both,Receives public assistance,Working now,,,,,,,,,,,,,,,,Option not selected,Household member #2,Household member #3,Option not selected,Option not selected
99900081,999000811,Bhutan,Bhutan,(RECORD HEAD OF HOUSEHOLD NAME),2,Self,Married,Don't know,Male,Other,2015 or later,Mid West,,,,,,,,,,,,Don't know,Don't know,Yes,Don't know,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,2015,Yes,,,,,,,,,No,,No,,No,Yes,,,,,,,,,,,,,,,,,,,,Don't know,,12,,,,,,,,,,,Head of Household,Option not selected,Option not selected,Option not selected,Option not selected,,,,,,,,,,,Number of months,3,No,,,Don't know,,No,,,,720,Rented for cash rent,Not respondent,Don't know and/or refused,Does not receive cash assistance,,,,,,,,"Receives public assistance, but earnings missing",Receives public assistance,,,,,,,,,,,,,,,,,,,,,
99900081,999000812,Bhutan,Bhutan,(RECORD HH MEMBER #2 IF APPLICABLE),2,Spouse (wife/husband),Married,Don't know,Female,Other,2015 or later,Mid West,,,Yes,Did not move to another state/it's the first state we lived in since living in U,12 months,No medical expenses,No,No,Other,,,Don't know,Don't know,Yes,Don't know,(RECORD YEAR),Yes,,2016,,Yes,,None,No,Not at all,Not at all,No,Yes,Don't know,Don't know,,No,Yes,Don't know,No,No,Not employed,December,2015,Manufacturing/production/factory,,,,,35,,52,35,Yes,No,Don't know,,,,2015,,(RECORD MONTH),Yes - covered in all months,,Don't know,Don't know,Don't know,Don't know,Don't know,No,,No,,No,Yes,No medical expenses,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,,10,,,,,Don't know,,12,22,,,,,,,,,,Head of Household,Option not selected,Option not selected,Option not selected,Option not selected,,,,,,,,,,,Number of months,3,No,,,Don't know,,No,,,,720,Rented for cash rent,Respondent,Don't know and/or refused,Does not receive cash assistance,Employed,In labor force,Already adjusted LPR status,Don't know and/or refused,,,None,"Receives public assistance, but earnings missing",Receives public assistance,Working now,,,,,,,,,,,,,,,,,,,,
99900086,999000861,Bhutan,None,(RECORD HEAD OF HOUSEHOLD NAME),4,Self,Married,35,Male,Other,2015 or later,Mid West,,,Yes,Did not move to another state/it's the first state we lived in since living in U,02 - 11 Months,Other government source,No,No,Emergency room at a hospital,<=25k,"(Line Poverty,32k)",No,No,Yes,No months,(RECORD MONTH),Yes,August,2015,,,,Technical school certification,Yes,Well,Not well,No,No,25000,10,,No,Yes,Government employee,No,No,Self-employed,October,2015,Misc. general products/goods/product companies,Business owner,,,,43,,52,40,Yes,No,Federal government employee,,,,2015,,(RECORD MONTH),No - number of months not covered (RANGE: 02-11),11,Option not selected,Option not selected,Medicaid or Refugee Medical Assistance,Option not selected,Option not selected,No,,No,,No,Yes,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Other government source,Option not selected,Option not selected,Option not selected,Option not selected,,10.42,,,,,No months,,11,15,Option not selected,Volunteer your time,Help with homework,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Head of Household,Option not selected,Option not selected,Option not selected,Option not selected,,,,,,,,,,,No months,,No,,,No months,,No,,,,1200,Rented for cash rent,Respondent,25 to 39 years,Does not receive cash assistance,Employed,In labor force,Already adjusted LPR status,Individual receives RMA/Medicaid,,,None,Receives both,Receives public assistance,Working now,,,,,,,,,,,,,,,,,,,,
99900162,999001623,Bhutan,None,(RECORD HH MEMBER #3 IF APPLICABLE),5,Spouse (wife/husband),Married,62,Female,Other,2015 or later,Mid West,,,Yes,Did not move to another state/it's the first state we lived in since living in U,12 months,Other government source,No,No,Emergency room at a hospital,,,Yes,GA,Yes,Every month,,No,,,Yes,,,None,Yes,Not at all,Not at all,No,No,,0,,No,,,No,No,Not employed,,,,,,No,,,,,,No,,,Never worked in the U.S.,,,2013 to 2014,Yes,,Yes - covered in all months,,Option not selected,Option not selected,Medicaid or Refugee Medical Assistance,Option not selected,Option not selected,No,,Yes,12,No,Yes,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Other government source,Option not selected,Option not selected,Option not selected,Option not selected,,,,,,,No months,,12,24,Option not selected,Volunteer your time,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Head of Household,Option not selected,Option not selected,Option not selected,Option not selected,,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Age,Option not selected,Option not selected,No months,,No,,Yes,Every month,,No,,,,720,Rented for cash rent,Not respondent,55 or older,Receives cash assistance,Not in labor force,Not in labor force,Plans to adjust LPR status in future,Individual receives RMA/Medicaid,,,None,Receives both,Receives public assistance,Not working now and never worked in past,,,,,,,,,,,Head of Household,Option not selected,Option not selected,Option not selected,Option not selected,,,,,
99900162,999001624,Bhutan,None,(RECORD HH MEMBER #4 IF APPLICABLE),5,Parent / Stepparent / foster parent / guardian,Married,28,Male,Other,2015 or later,Mid West,,,Yes,Did not move to another state/it's the first state we lived in since living in U,12 months,Other government source,No,No,Emergency room at a hospital,,,Yes,GA,Yes,Every month,,No,,,Yes,No,,Other,Yes,Well,Not well,Yes,Yes,Don't know,12,,No,No,Don't know,No,No,Civil servant (civilian in local or national government),August,2014,Manufacturing/production/factory,"Profession worker (lawyer, doctor, scientist, nurse, engineer, accountant, progr",,,,24,,20,40,Yes,No,Don't know,,,,2013 to 2014,Yes,(RECORD MONTH),Yes - covered in all months,,Option not selected,Option not selected,Option not selected,Other government health care,Option not selected,No,,Yes,12,No,Yes,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Other government source,Option not selected,Option not selected,Option not selected,Option not selected,,10.75,,,,,No months,,12,24,Option not selected,Volunteer your time,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Option not selected,Head of Household,Option not selected,Option not selected,Option not selected,Option not selected,,,,,,,,,,,No months,,No,,Yes,Every month,,No,,,,720,Rented for cash rent,Not respondent,25 to 39 years,Receives cash assistance,Employed,In labor force,Plans to adjust LPR status in future,Individual does not receive RMA/Medicaid,,,None,Receives both,Receives public assistance,Working now,,,,,,,,,,,Head of Household,Option not selected,Option not selected,Option not selected,Option not selected,,,,,
99900244,999002441,Bhutan,Refused,(RECORD HEAD OF HOUSEHOLD NAME),5,Self,Married,Don't know,Male,Don't know,2015 or later,West,,,,,,,,,,,,Don't know,Don't know,Yes,Don't know,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,2015,Yes,,,,,,,,,No,,No,,No,Yes,,,,,,,,,,,,,,,,,,,,Don't know,,6,,,,,,,,,,,Option not selected,Option not selected,Option not selected,Option not selected,Household member #5,,,,,,,,,,,Don't know,,No,,,Don't know,,No,,,,1900,Rented for cash rent,Not respondent,Don't know and/or refused,Does not receive cash assistance,,,,,,,,Receives both,Receives public assistance,,,,,,,,,,,,,,,,,,,,,
